Year,US Population,"Crude birth rate per 1,000 women",Number of women in US,Net migration count,"Population level Death Rates per 100,000 people",People living with HIV,New HIV Infections,Deaths from HIV/AIDS,Number of Births,Number of Deaths,Viral Suppression Proportion
1990,248790925.0,16.7,127507000.0,6989732.0,938.0,877664.0,60799.0,27669.0,2129366.9,2333658.8765,0.010000000000000002
1991,251955245.0,16.2,127838000.0,792335.0,921.9,913781.0,50814.0,32129.0,2070975.5999999999,2322775.403655,0.012500000000000002
1992,255585733.0,15.8,130606000.0,826566.0,905.3,937962.0,49488.0,36243.0,2063574.8000000003,2313817.640849,0.015000000000000003
1993,259068338.0,15.4,131995000.0,763264.0,925.8,958116.0,51050.0,39965.0,2032723.0,2398454.6732039996,0.0175
1994,262318037.0,15.0,133278000.0,783884.0,913.2,967808.0,43277.0,31692.0,1999170.0,2395488.3138840003,0.020000000000000004
1995,265471847.0,14.6,134510000.0,862794.0,909.5,967304.0,41807.0,35710.0,1963846.0,2414466.4484650004,0.034868421052633526
1996,268582017.0,14.4,135724000.0,930821.0,893.7,970482.0,40343.0,32144.0,1954425.5999999999,2400317.485929,0.06842105263158403
1997,271818977.0,14.2,137001000.0,884272.0,877.7,983510.0,54312.0,21057.0,1945414.2,2385755.161129,0.09868421052631579
1998,275040082.0,14.3,138218000.0,862845.0,870.1,1000000.0,49381.0,17230.0,1976517.4000000001,2393123.753482,0.14210526315789473
1999,278195745.0,14.2,139414000.0,649032.0,875.6,1020000.0,47286.0,17287.0,1979678.7999999998,2435881.94322,0.16578947368421051
2000,282162411.0,14.4,143719004.0,1200535.0,869.0,1040000.0,44994.0,16141.0,2069553.6576,2451991.35159,0.18157894736842106
2001,284968955.0,14.1,145077463.0,1078014.0,858.8,1070000.0,42886.0,15604.0,2045592.2282999998,2447313.38554,0.18947368421052632
2002,287625193.0,14.0,146394634.0,822079.0,855.9,1090000.0,43764.0,15454.0,2049524.876,2461784.026887,0.18947368421052632
2003,290107933.0,14.1,147679036.0,985807.0,843.5,1110000.0,44582.0,15109.0,2082274.4076,2447060.414855,0.20131578947368423
2004,292805298.0,14.0,148977286.0,947844.0,813.7,1130000.0,46733.0,14537.0,2085682.004,2382556.709826,0.21315789473684213
2005,295516599.0,14.0,150319521.0,1006408.0,815.0,1160000.0,46333.0,13897.0,2104473.294,2408460.28185,0.2210526315789474
2006,298379912.0,14.3,151732647.0,866397.0,791.8,1190000.0,50390.0,13322.0,2169776.8521000003,2362572.143216,0.23289473684210527
2007,301231207.0,14.3,153166353.0,862955.0,775.3,1220000.0,49377.0,12472.0,2190278.8479,2335445.5478709997,0.24473684210526317
2008,304093966.0,14.0,154604015.0,854905.0,774.9,1250000.0,51091.0,11495.0,2164456.21,2356424.142534,0.2605263157894737
2009,306771529.0,13.5,155964075.0,841453.0,749.6,1280000.0,51351.0,10618.0,2105515.0125,2299559.381384,0.2763157894736842
2010,309349689.0,13.0,157260239.0,828000.0,747.0,1310000.0,53900.0,9459.0,2044383.1069999998,2310842.1768300002,0.29210526315789476
2011,311591919.0,12.7,158324058.0,872000.0,741.3,1340000.0,55559.0,8755.0,2010715.5366,2309830.8955469998,0.3
2012,313914040.0,12.6,159477797.0,942000.0,732.8,1380000.0,56530.0,8305.0,2009420.2422,2300362.08512,0.34304075851704996
2013,316128839.0,12.4,160501141.0,982000.0,731.9,1410000.0,57109.0,7982.0,1990214.1483999998,2313746.972641,0.38843455760960727
2014,318857056.0,12.5,161966955.0,1113000.0,724.6,1450000.0,57785.0,7716.0,2024586.9375,2310438.227776,0.43536132791183235
2015,321418821.0,12.4,163250987.0,1172000.0,733.1,1490000.0,59649.0,7453.0,2024312.2388,2356321.376751,0.482879725246207
2016,323127515.0,12.2,164065884.0,1236000.0,728.8,1530000.0,62103.0,7173.0,2001603.7847999998,2354953.32932,0.53
2017,325719178.0,11.8,165316674.0,1182000.0,731.9,1570000.0,62452.0,6778.0,1950736.7532000002,2383938.663782,0.5757650740139854
2018,327167439.0,11.6,166049288.0,997000.0,723.6,1610000.0,62161.0,6520.0,1926171.7407999998,2367383.588604,0.6193260558757715
2019,328239523.0,11.4,166650550.0,915000.0,715.2,1650000.0,61107.0,6228.0,1899816.27,2347569.068496,0.66
2020,329459499.0,10.9,166377047.0,726000.0,835.4,1690000.0,59784.0,6410.0,1813509.8123,2752304.654646,0.6973025207003558
2021,331810011.0,11.0,167543042.0,376000.0,879.7,1720000.0,58484.0,6306.0,1842973.4619999998,2918932.666767,0.7309540113860108
